rank,tag,unique_users,question_count,avg_reputation,median_reputation,min_reputation,max_reputation,stddev_reputation
1,open-source,100,104,28117.73,5873,132,825848,85849.28
2,filemaker,134,222,27097.54,1732,103,337863,84243.42
3,scons,166,246,24491.55,3198,109,908125,75262.4
4,user-interface,174,185,24190.96,9540,135,370811,50482.32
5,coding-style,157,161,23864.83,5752,107,330762,51122.24
6,mercurial,983,1368,22853.75,5359,103,576904,48215.13
7,language-agnostic,546,592,22680.1,6237,103,1357603,71746.72
8,fonts,102,103,22047.8,1618,109,604203,78122.27
9,unicode,163,171,21662.7,4391,105,707030,63573.48
10,version-control,268,276,21497.8,5494,101,385646,48904.94
11,terminology,142,150,21323.44,6019,105,403343,52564.7
12,naming-conventions,105,108,21030.45,5868,105,260707,42603.37
13,nunit,124,137,20028.8,4847,101,370811,45022.58
14,project-management,152,157,19681.77,5880,107,215144,31023.59
15,gnu-make,133,166,19588.88,1707,107,403343,59591.43
16,maven-2,224,297,19299.25,5443,103,576904,48449.64
17,fish,158,216,18792.28,4203,107,228614,42889.83
18,programming-languages,294,306,18619.92,5116,103,313331,37327.09
19,visual-studio-2008,406,489,17890.66,5374,101,370811,35497.3
20,testing,176,188,17812.43,2498,100,525157,53686.02
21,elisp,105,144,17739.1,3639,111,796192,70307.41
22,licensing,103,105,17361.18,4548,123,299429,38939.9
23,url,137,138,16697.51,3254,101,315204,40976.08
24,nuget,345,390,16415.68,4769,103,702533,45518.91
25,unit-testing,327,346,16332.99,4857,113,385646,33781.65
26,svn,2165,2620,16224.93,3812,100,525157,42100.57
27,.net,1380,1767,16198.27,4119,101,846586,40047.77
28,security,313,329,15983.9,2913,105,825848,57364.57
29,http,376,406,15784.8,2912,101,627594,45841.9
30,zsh,288,367,15742.16,3714,101,460413,45002.02
31,database-design,641,720,15738.53,2755,101,261176,38289.57
32,linq-to-sql,480,679,15654.77,4619,101,251590,30707.22
33,msbuild,575,733,15623.89,4730,103,341085,30038.8
34,winapi,558,799,15604.48,2136,101,591216,48566.59
35,nhibernate,710,1159,15350.02,3905,103,251590,33258.96
36,gdb,373,479,15215.38,2633,102,331933,45042.52
37,email,167,170,14872.16,2105,103,216524,37282.7
38,coffeescript,435,542,14846.46,4825,125,216524,26331.19
39,resharper,215,242,14837.58,5056,101,228856,25845.93
40,emacs,1172,1929,14651.73,3890,100,348928,31858.02
41,vim,4088,6763,14380.73,3317,101,439004,31018.92
42,windbg,162,244,14164.07,2953,121,101939,22291.19
43,sbt,377,553,13815.44,3875,101,292064,35317.05
44,web-services,257,274,13521.09,2938,101,260707,31868.26
45,git,13787,20292,13485.98,3267,100,825848,34085.91
46,cookies,147,153,13230.11,1884,105,313961,34810.9
47,memcached,125,139,13154.91,3866,103,251590,31361.01
48,cocoa-touch,118,198,13142.79,4311,121,167819,23508.72
49,netbeans,329,358,13141.6,2485,101,274532,37065.81
50,floating-point,110,116,13090.71,1657,106,591216,56474.24
